title,description,length
My Dad's Boss,"Victoria's dad loves his midday drink but doesn't have a head for hard liquor. Now he's in trouble with his boss and needs her to convince the man to let him keep his job. When she was younger, a sweet smile and a little pleading had done the trick. Now she's eighteen, it will require a lot more than smiles and begging to accomplish her mission; she'll be lucky if she doesn't have to resort to using her tight little pussy to get what she wants.
WORD COUNT: 5,200",466
"Bartered Pain (The Billionaire's Wife, #7)","Anton's penchant for public sex lands him and Felicia on the front page of the tabloids, but coming to the attention of the media brings something far more devastating to the surface--a secret Anton has been keeping from Felicia.
This 9,200 word short story is the seventh installment of The Billionaire's Wife series.",318
Managing Preexisting Diabetes and Pregnancy: Technical Reviews and Consensus Recommendations for Care,"Offers a single resource for American Diabetes Association standards of care for pregnant women with preexisting diabetes - type 1 (DM1) or type 2 (DM2). It providers up-to-date recommendations and treatment protocols for the management of diabetes and pregnancy to researchers, academic physicians, and clinicians who deal with the broad spectrum of problems.",360
Faintheart: An Englishman Ventures North of the Border,"Stomping the quintessential Highlands from Inverness to Skye and risking frozen extremities to reach breathtaking Hebridean islands, Charles Jennings discovers a land of awe-inspiring beauty. Contemplating whether his great grandfather's legacy qualifies him to shed a tear at the sound of bagpipes, Jennings compares the elegance of Edinbugh with the industrial action of Aberdeen, risks a pint in Kelvinside, and sinks into the peaty bogs of Mull.",449
The New Dinosaurs,"Features dinosaurs that are swift, stunning, scary and stupendous. This title makes use of paleontological research to present a scientifically accurate look at the way dinosaurs lived: how they moved, ate, duelled, drank and mated. It includes stories that range from ten-ton brontosaurus to thirty-foot hadrosaurus.",317
The Cats of Thistle Hill: A Mostly Peaceable Kingdom,"The author of A Cat Is Watching and A Celebration of Cats shares warm, witty tales of the ten-plus cats who live with him and his family on their Thistle Hill Farm in Maryland. In rich, humorous detail, Roger A. Caras tells one whimsical anecdote after another as he follows the cats from adventure to adventure. Photographs.",325
Let the Great World Spin (Platinum Readers Circle,"In the dawning light of a late-summer morning, the people of lower Manhattan stand hushed, staring up in disbelief at the Twin Towers. It is August 1974, and a mysterious tightrope walker is running, dancing, leaping between the towers, suspended a quarter mile above the ground. In the streets below, a slew of ordinary lives become extraordinary in bestselling novelist Colum McCann's stunningly intricate portrait of a city and its people.",442
History of an Apple Pie,"This clever and simple ABC book follows the story of one pie and all the people involved with it, from ""A Apple Pie"" and ""B Baked It"" to ""Z cried 'Zounds! Let's eat it up.'"" Illustrated with eight two-color drawings of the comical characters who depict each letter and activity, The History of An Apple Pie was originally published circa 1867 by McLoughlin Brothers of New York and electrotyped by Vincent Dill.",411
Ghostbusters 101 #3,"This is it! The Original Ghostbusters finally come face to face with those who Answer The Call! Inter-dimensional travel is no new thing to the original boys in grey and their colleagues, but this is the first time that dimensions have ever overlapped and threatened to merge--which could be a worse fate than total protonic reversal!",334
Ares: Bringer of War,"The myth continues in the tenth year of the fabled Trojan War where two infamous gods of war go to battle. The spotlight is thrown on Ares, god of war, and primarily focuses on his battle with the clever and powerful Athena. As the battle culminates and the gods try to one-up each other to win, the human death toll mounts. Who will win this epic clash of power? And how many will have to die first?
This title has Common Core connections.",440
Deathstroke (2014-) #11,"It's the Suicide Squad vs. Deathstroke! He's battled gods, slain his enemies, and even sacrificed parts of himself he never thought he could live without! But Deathstroke's biggest challenge still lays ahead, and if he wants to succeed he'll need to defeat the assembled might of the Suicide Squad! Will this be his chance to get back at Harley Quinn after their previous battle?",379
"44: Book Two (44, #2)","When she was 17, Abby Craig died. But after falling through the ice on a frozen mountain lake and having no vital signs for 44 minutes, she somehow came back to life.
It's taken two years to recover from her accident. And while most of what she lost at the bottom of that dark lake has returned, some things haven't. Although she is no longer haunted by visions of a serial killer, Abby still sees what others can't. But she is blind to the darkness closing in all around her...",478
Desert Mage,"He was a tall man, with hands strong enough to straighten a horseshoe. His staff was ancient willow wood, the weapon of a man who could cast a spell with blinding speed. Now Doge Compher will need every deadly bit of his magic. The vampyren are sacrificing hostages in a monstrous spell, hostages he promised to protect. To reach them, he must travel a desert filled with nasty surprises. Worse, his allies have betrayal on their minds.",436
Apocalypse: On the Psychology of Fundamentalism in America,"In this incisive account of how America's fundamentalists view the impending destruction of the world, historian/psychoanalyst Strozier offers unusual insights into the psychology of Christian fundamentalist thinking on topics such as nuclear weapons, the environment, and the timing of the end of human history.",312
Charlie All Night,"Dumped and fired, radio producer Allie McGuffey has nowhere to go but up--and she's taking temporary DJ Charlie Tenniel, her new ""project,"" with her! Despite his objections and the fact that he's totally wrong for her, Charlie and Allie find themselves falling into success--and into bed. Crusie has ""a gift for concocting nutty scenarios and witty one-liners,"" says ""People Magazine.",384
Little Nothings 3: Uneasy Happiness,"Trondheim's comics blog's next collection of his popular musings on the every day ironies of life, his little anxieties, funny observations while on travel, his way of finding some cloud over the brightest sunshine, his obsessive hypochondria and other oh-so-easy-to-relate-to nerdy preoccupations. As he says himself, it's whole lotta not much. And people are lovin' it.",371
Journey Around Boston from A to Z,"This vivid, enchanting alphabet book for all ages is packed with fascinating information about historic sites in Boston, Cambridge, and environs. Colorful, detailed watercolor paintings from author and illustrator Martha Day Zschock enliven the pages, which include: Brahmins on Beacon Hill, Fans at Fenway, and Tea Taxes! Says the Fitchburg Sentinel, ""Her art and poetic, easy-to-follow text will warmly draw readers of all ages into the arms of the City Upon the Hill.""",471
"The Diamond Brothers in...Two of Diamonds (The Diamond Brothers, #5-6)","Tim Diamond is the world's worst detective - and these two mysteries will test his nerves to the limit. What does strawberry yoghurt possibly have to do with Paris? Why on earth are Tim and his kid brother Nick invited to a remote Scottish island? The answer ... murder! And if the Diamond Brothers don't play their cards right, they could be next.
This volume includes; .",373
"Stitched Sewing Organizers: Pretty Cases, Boxes, Pouches, Pincushions & More","""This book features 15 projects for a wide variety of sewing organizers. The patterns are designed to work together, so small projects fit into larger ones. Make for yourself or as gifts. Detailed concepts will include information on installing zippers, alternative fastenings, sewing with vinyl, making three-dimensional shapes, and the different types of interfacings that can be used and how these can transform your projects.""--",432
The Berenstain Bears and the Bermuda Triangle (Big Chapter Books),"Shy guy Brother has a crush on older, good-looking Bermuda--but what's up with the odd way she's coming after him--sort of like a shark attacking its prey? This latest chapter book, a surefire combination of romantic intrigue and cyber-thiller, will have readers flipping pages to reach the very last fast-paced chapter.",320
The Misshapen,"At the beginning of the end of time, she was there...
One of acclaimed author Nicholas Ponticello's earliest works, The Misshapen originally appeared online in 2006, one of two short stories describing the dark relationship between humans and the world they've created. Nearly a decade later--and for the first time in e-book format--this revised edition offers readers a rare glimpse into Ponticello's psyche in the years preceding the publication of his recent hit novel: Do Not Resuscitate.",493
"Time Without End (Cora's Bond, #2)","Bound to the VampireCora Shaw was bonded twice to the billionaire vampire Dorian Thorne, once though blood and again through her promise to marry him. She knew that her life with him could never be easy. But the dangers that lurk in their bond--the incredible power it gives him over her and the recklessness that it stirs in her--are only a start of the peril that they face.
With their enemies drawing ever closer, will Cora ever be safe again?",446
Inferno 4D,"Inferno is the first part of the long journey which continues through redemption to revelation-through Purgatory and Paradise-and, in this translation prepared especially for audiobook, his images are as vivid as when the poem was first written in the early years of the 14th cnetury. With music of the period. Unabridged in a new translation by Benedict Flynn.",361
The Ultimate Guide to G.I. Joe 1982-1994: Identification & Price Guide,"This guide to the guts-and-glory of G.I. Joe identifies every figure with all its weapons and gear, every vehicle with all the easy-to-lose pieces and every accessory related to Hasbros stellar team of soldiers. Use ""The Ultimate Guide to G.I. Joe"" to expand your knowledge about Joe and the team, or Cobra and his cronies, and to identify and assess the value of any of the series 350 action figures and 240 vehicles and accessories.",434
The House That Witchy Built,"Told through repetition and rhythm, this Halloween tale invites children to participate in the fun. Cats meow, skeletons rattle, bats flap, and a mom fusses at a picky little boy-all in Witchy's creaky old house. Throughout the story, other spooky creatures come out to play Finely detailed cut-paper and collage illustrations complete this frightful fable.",357
Antonides' Forbidden Wife,"HE WANTS HIS WIFE BACK --- IN HIS BED!
Ally is back in the life of PJ Antonides for one thing only -- his signature on their divorce papers.
But arrogant Greek businessman PJ refuses to sign anything. He won't accept that Ally's no longer his wife. So when the smoldering attraction between them moves negotiations from his boardroom to his bedroom, PJ knows his forbidden bride is once again his, and ready for the taking ...",426
Dog and Bear: Two's Company,"WHAT'S BETTER THAN ONE DOG AND BEAR BOOK? TWO!
In three new stories, the two dearest of friends celebrate Bear's birthday, have their first falling out, and take care of each other when Dog is under the weather.
Dog and Bear: Two's Companyis a 2009 Bank Street - Best Children's Book of the Year. This title has Common Core connections.",336
The Tower Formerly Known as Sears and Two Other Tales of Urban Horror,"Horror in Pinstripes:
A recruiting event at an amusement park turns deadly when the attractions develop minds -- and purposes -- of their own. Dinner with a client becomes a battle against monsters set on devouring the restaurant's patrons. And a new chairman must not only prove himself to the disgruntled attorneys he manages but face a skyscraper bent on his destruction.
Always free for Kindle Unlimited Members.",416
Dare To Trust,"She'd expected a little temptation
Anna had realized when she left her fiance in California for a temporary job in Wisconsin that she'd meet other men. And she hadn't worried about it, believing she knew the strength of her commitment to Rich.
Her unexpected encounter with fiery archaeologist Colin Davies changed her mind.
Not only did he force her to reassess her feelings for Rich, but he needed her desperately. It was a matter of life or death....",453
"The Orphan Army (The Nightsiders, #1)","David Gale at Simon & Schuster has acquired the first two books in a debut middle-grade series by Rot & Ruin author Jonathan Maberry. In the series, called The Nightsiders, human and monster teens work together to defend the earth from alien invaders. Book #1 pubs in summer 2015; Sara Crowe at Harvey Klinger brokered the deal for world rights.",345
Iced Beer and Other Tantalising Tips for Life,"Lee Lin Chin - fashionista, newsreader, Gold Logie loser, social media superstar and Prime Chinister of Australia - has finally deigned to write an advice book. Here she shares her views on all the important topics, from acceptable careers (bartender; brewer) to her favourite cocktail recipe (beer, preferably obscure Japanese, served on ice). Written with Lee Lin's inimitable flair and contempt for all beneath her, this book will give you the Chinspiration you need to live a transcendent life.",498
"A Grateful Path: Inspirational Thoughts on Unconditional Love, Acceptance, and Positive Living","Invites readers to look within to discover their own unique talents and see the endless possibilities that lofe holds. This exceptional book encourages being true to oneself, keeping sight always of what is truly important in life, focusing on the positive, and living each day with a deep sense of gratitude.",309
The Woman of Mystery,"Maurice LeBlanc became famous for the creation of Ars?ne Lupin, a gentleman thief and master of disguise. LeBlanc was born to a wealthy family, studied law, worked as a police reporter for a time, then found his career as a fiction writer. His first Lupin novel, was hugely popular and set the pattern for his career. While LeBlanc wrote much other fiction, it was the Lupin series which made him internationally famous, the French equivalent of Arthur Conan Doyle.",465
Harvest the Fire,"Harvest the Fireis a story of politics and poetry: of a poet, Jesse Nichol, who aspires to great work in an era when human literary greatness is in the apparently all in the past, who travels to the Moon and falls in love with a beautiful revolutionary, Falaire--a woman determined to escape from the care of machines. For the machines are now the masters of humanity, and the great work of Falaire is freedom, which must be stolen from the machines.",450
Alice's Bloody Adventures in Wonderland,A new demented modern interpretation of Alice's Adventures in Wonderland. With illustrations by Los Angeles based street artist Tweedle Guns. The White Rabbit has killed Alice's Sister and cat. Sending her on a revenge quest down the rabbit hole. Alice finds herself a pawn in a deadly battle for supremacy of Wonderland.,321
Forest Whispers,"In pursuit of a serial killer, Confederation Ranger Lana Eloy is forced to land on the barbaric, male dominated world, of Ata Prime and endure the escort of Captain of the royal guard, Corin Thantos.
Lana tries hard to ignore the fact that what started out as a casual sexual encounter around the campfire had turned into something far more powerful. But with the killer still on the loose, would Corin prove to be a distraction that cost her her life?",452
Thank You Day,"Celebrate Neighborhood Thank You Day with Daniel Tiger and his friends in the Neighborhood of Make-Believe in this Pre-level 1 Ready-to-Read story.
It is Neighborhood Thank You Day in the Neighborhood of Make-Believe! Join Daniel Tiger and his friends as they put special notes on the Thank You Tree. Who will Daniel decide to thank with his note? This sweet story includes an important message about manners that's just right for preschoolers.
(c) 2014 The Fred Rogers Company.",478
A Friend or Two,"Elizabeth Wainwright, an East Coast heiress in disguise, takes a job waitressing at a Fisherman's Wharf cafe, eager to live a simpler life. One day Andrew Breed--handsome, mysterious and charismatic--walks in. He says he's a longshoreman, but his words and actions don't quite add up. Is Elizabeth falling in love with someone who's pretending to be something other than he claims? Is Andrew?",392
"Burning Fate (Moonburner, #0.5)","Alternate cover for this ISBN can be found 
Azura, heir to the throne of Miina, is resigned to her fate. She must marry her mortal enemy in the hopes of ending a centuries long war. But when a handsome and enticing stranger appears on the horizon, she is swept up in an illicit but undeniable romance.
When a false accusation puts her new love's head on the chopping block, Azura must give up all she knows in a daring and desperate plot to save him.",451
Australian Boss: Diamond Ring,"Ever since Fiona Donner breezed into Brent MacKay's office with her sunny smile, bouncy enthusiasm and infectious laughter she's turned his ordered world topsy-turvy.The attraction zings between them, and Brent believes that Fiona may be the woman to finally release his fears--and the secret he's lived with his whole life.
""Only then can he put a sparkly ring on her finger...""",379
The Dreaded Synopsis,"Submission guidelines for virtually every agent or publisher seeking novels include a request for a synopsis. Ergo, every novelist or aspiring novelist needs to know what a synopsis is ... and how to write one that will catch an editor's fancy. This book by acclaimed romance writerr Elizabeth Sinclair gives all the details -- what to do and what not to do -- to make your synopsis the effective selling tool you need.",419
"Playtime, Maisy! (Maisy's Cloth Books)","Bright, well-padded pages show the things from Maisy's world that babies
love!
More wordless, cuddly, soft cloth books--perfect very-first Maisy books for baby. Familiar images from Maisy's world--playing with toys, enjoying snacks, and much more--are wonderfully appealing to the youngest child when they're shared with everyone's favorite mouse.",347
X-Men: Prelude To Schism,The prelude to the X-Men event of 2011! What does it mean to be a leader? What does it do to a person? What do the choices you make mean about the person you are? This is a story that delves into these issues and will give an X-Men reader what they need to know about their favorite mutants - before everything changes! COLLECTING:X-Men: Prelude to Schism 1-4; X-Men FIrst Class SpotlIght (JenkIns Interview),408
The Spooky Wheels on the Bus,"A haunted Halloween bus ride that will have children singing with excitement.
THE SPOOKY WHEELS ON THE BUS is a humorous Halloween-themed version of the classic song THE WHEELS ON THE BUS...with a few ghoulish tricks and treats up its sleeves!
Count from One Spooky Bus up to Ten Goofy Ghosts as this Halloween ride races through town picking up a few unsuspecting passengers along the way.",390
Steed & Mrs. Peel Vol. 3: The Return of the Monster,"The Original Avengers, based on the cult 1960s British television series, are back for more adventures!
THE RETURN OF THE MONSTER! Writer Caleb Monroe (BATMAN) and artist Yasmin Liang (SAINT'S WAY) continue the adventures of the classic espionage icons. John Steed and Emma Peel's greatest foes, the Hellfire Club, have returned with an even deadlier plan to finish off England's top super spies once and for all, with the help of the robotic Cybernauts.",454
Human Target: Strike Zones,"A new Softcover collecting the first five issues of the acclaimed series. Christopher Chance has left L.A. for New York City, but his strange career as a professional assassin decoy continues to blur the boundaries between illusion and reality, leaving him ever more uncertain about who he really is -- and how much that really matters.",336
Survivor Tree,"Join Sam and his Mother on their emotional trip to the 9/11 Memorial. Their visit enables Sam's Mother to share her personal connections with 9/11, as well as facts and stories from an important piece of our country's history. Through the pages of this story Sam and the reader are given the opportunity to honor, heal, and forge ahead. The photo illustrations enable the reader to experience the many sights of the memorial.",425
A Wedding Blunder in the Black Hills,"David and Millie both have big problems. A widowed dentist with an almost-teen son, he's being stalked by an amorous patient. Millie's mom keeps sending her on blind dates, even though the cafe owner has trust issues. So when a lost filling lands Millie in David's office, the two of them find a solution--a faux relationship. No one gets hurt and no one gets nagged. It's a great plan--until they really start to care. Now what will they do?",442
On Academic Scepticism,"Charles Brittain's elegant new translation of Cicero's Academica makes available for the first time a readable and accurate translation into modern English of this complex yet crucial source of our knowledge of the epistemological debates between the sceptical Academics and the Stoics.
Brittain's masterly Introduction, generous notes, English-Latin-Greek Glossary, and Index further commend this edition to the attention of students of Hellenistic philosophy at all levels.",475
The Hog's Back Mystery,"The Hog's Back is a ridge in Surrey and the setting for the disappearance of several locals. A doctor vanishes, followed by a nurse with whom he was acquainted, then a third person. Inspector French deduces murder, but there are no bodies. Eventually he is able to prove his theory and show that a fourth murder has been committed.
The American title is 'The Strange Case of Dr Earle'.",385
The Truth About Humans: as told by an alien,"Tezzix Faresh lives on a doomed planet. She's been groomed to be a leader, and has spent her whole life preparing. Now, she has a chance to visit the exciting, floating city of Nirvana on Earth. Among humans she'll experience her first taste of freedom, her first meaningful friendship, and the thrill of love. When the time comes, how will she choose between duty and what she truly desires?",392
"""Gorgias"" and ""Phaedrus"": Rhetoric, Philosophy, and Politics",This volume provides translations of two of Plato's classic dialogues on rhetoric. The Gorgias presents an intransigent argument that justice is superior to injustice - to the extent that suffering an injustice is preferable to committing an unjust act. The dialogue contains some of Plato's most significant and famous discussions of major political themes and focuses on Socrates as a political thinker and actor.,415
Venison Cookbook,"Presents 150 ways to prepare this versatile, low-fat food Learn techniques to cook various cuts for savory stews, soups, chili, pies, sausage For the novice or experienced cook Recipes for both traditional American fare and interesting international dishes Venison Stroganoff Blackened Venison Montana Venison Loaf Easy All-American Chili Baked Rib Barbecue Venison Cabbage Rolls Hawaiian Venison Kabobs Venison Tamale Pie Easy Venison Quiche Sauerbraten Old-Time Smoked Sausage Easy Venison Gumbo",497
"Murder Most Posh (Mrs. Xavier Stayton, #2)","First-class travel has never been so treacherous!
A Transatlantic voyage proves deadly when Mrs. Xavier Stayton and her loyal friend, Lucy, journey aboard the famed RMS Olivia.
Jewel thieves, stowaways and fierce storms are the least of Mrs. X's concerns when another passenger is killed in the neighboring cabin.
One clue leads to another, until Mrs. X is convinced that she's solved the dastardly crime.
As a mighty storm assaults the luxury liner, will our heroine's theory sink or swim?",490
Come Back to the Sea,"""Come Back to the Sea"" is the story of Yukio, who hears the sea singing and sees disturbing visions of the water swallowing everything she knows. Is it all in her head? Or is the sea really coming for her?
At the publisher's request, this title is being sold without Digital Rights Management software (DRM) applied.",316
Yves Saint Laurent,"One of the most distinctive and influential designers of the second half of the twentieth century, Yves Saint Laurent takes his place in the pantheon of French couturiers, alongside Coco Chanel, Christian Dior, and Jeanne Lanvin. Yves Saint Laurent, the first comprehensive retrospective of his lifes continuous innovation, drawing upon painting, sculpture, theater, opera, literature, and cinema.",397
"Adventures of a Graveyard Girl (Funeral Crashing, #2)","Kait Lenox is back! It's Homecoming Dance time and Kait is excited. It's her first dance with a date and that date is none other than one of the hottest, most popular guys in her school, Ethan Ripley! For once Kait doesn't feel like a funeral crashing weird girl and it's the most perfect romantic evening ever...at least until a girl gets murdered in the high school bathroom. Rumors fly, panic ensues, and Kait can't help herself, she assigns herself to the case!",465
"Love in Danger: Trauma, Therapy and Conflict Explored Through the Life and Work of Adam Curle","Bringing together the themes of the work of Adam Curle and the experiences of post-war suffering and the process of recovery, this tribute focuses on the relationship between trauma, therapy, and conflict and the importance and relevance of clinical assessments and therapy for peacemakers providing humanitarian aid. This book tracks Curle's commitment to peace, including the undertaking of community work at the grassroots level in Croatia.",443
Things in the Mirror,"From the time she was little, Rissa knew that mirrors were dangerous. It wasn't until she was much older that she understood just how dangerous.
After she gets married, she thinks that she might finally be able to share the burden of this knowledge. But her husband just laughs it off and calls her childish. Tired of being teased about her fears, she decides to confront them head on and discovers that she doesn't know as much as she thought she did.",452
Flax the Feral Fairy,"Flax Lilykicker is a young bad fairy who has somehow ended up in Miss Kisses' Academy of Sweetness for Little Fairies--and Miss Kisses is determined to give her a pink makeover. What's a bad fairy to do? Her plan is to earn a Badge of Badness, and get into a school for bad fairies. Together with her new friend the dog-face, Flax hatches a plan that's badder than bad. But will it all work out bad in the end?",410
Traitor's Hope (Chronicles of Gensokai #2),"Traitors lurk around every bend. Mishi's mind is betraying her, and she fears her kiso and katana will betray her next. Taka's heart abandons her for a person she cannot possibly trust. Now that the two friends are obliged to help re-establish peace in the land of Gensokai, the only question is where the next betrayal will come from and if Mishi and Taka will have the strength to survive it.",394
The Hunt of the Cold Moon,"Home for winter break, Terry is reluctantly caught up in an old tradition, a hunt for a forest spirit that he has never understood. When he unexpectedly wins the hunt and finds himself bound to the spirit, he has no idea what to do with it. The advice he is given, however, is dubious at best and if he does not act soon his father will take matters into his own hands ...",372
Waiting for the Nightingale,"Miles Burrows is a man always in love, and confused as lovers have to be by the inconstant nature of 'the other'. With Waiting for the Nightingale, he expresses social class anxiety, nostalgia and the competing glamour of women and metaphysics. Burrows is also aware of mortality, Eros and Thanatos tap constantly at his funny bone. Does God exist? Will the nightingale sing?",375
Stars! Stars! Stars!,"In this lively book, award-winning author-artist Bob Barner takes readers on a ride through outer space to visit distant planets and dazzling stars. The simple rhyming text and colorful torn-paper collage illustrations make this book perfect for the very youngest readers, and the Meet the Planets and Meet the Galaxy sections, both bursting with facts, will engage older readers as well. Stars! Stars! Stars! will rocket aspiring stargazers right out of this world!",466
Imperfect Contract (Sophia Burgess and Ray Stone #1),"Driven from police work by the cold realities of the job -- getting shot can do that -- Sophia Burgess finds her place in nursing. She brought with her the qualities that made her a good cop--fierce independence, inquiring mind, and edgy personality.
Then the victim comes to her.
Sophia's patient dies, but not from natural causes. She uses her clinical acumen as a nurse, her deductive skills as a former cop, and her police detective ex-fiancee to find the killer.",467
Solar Energy Projects,"Learn how energy from sunlight can be captured and used in many different ways. With this book, students learn the art of innovation through detailed explanations and hands-on activities built to foster creativity and problem solving. Fun, engaging text introduces readers to new ideas and builds on maker-related concepts they may already know. Additional tools, including a glossary and an index, help students learn new vocabulary and locate information.",457
True Crimes And How They Were Solved,"Amazing, true crime cases solved by science. Learn how the identity of a woman whose body is uncovered by demolition workers was discovered and her killer brought to justice; find out how forensic scientists use clues from the activity of bugs to determine whether murder has been committed; and more.",301
The Ghost Private Eye: The Gemini Detectives Trilogy,"Detectives Alexandra Winter and Jack Daniels have been close friends and partners ever since they started working at the San Diego Police Department. In fact, on their latest case there's only one thing separating them: the fact that Alexandra's been murdered by their main suspect. But that doesn't mean either of them have stopped in their hunt for the killer...",364
Kooky Cookery,"Available at http://www.kookycookery.comWhat do bricks of tomato gelatin, pizzas made with baked beans, and hors-d'oeuvre impaled Santas have in common? They're all part of American's rich and fragrant history of bizarre food concoctions. Kooky Cookery is a campy cookbook parody and humorous archive of the nation's Golden Age of peculiar creations.",350
Emma (The Harry Neal and Cat series),"Emma introduces Harry Neal, 63, an existential dropout cursed with a trouble inducing curiosity.
Harry's lazy day is interrupted when a friend hauls him to a shallow grave in the woods and shows him a skeleton with a bullet hole in its skull. Aided by persistence and the occasional dollop of cheap wine, he follows a vague trail of hints back twenty years. Along the way he questions an eclectic group of characters, is witness to human ruin, and pays $170,000 for a cat.",472
"The Dark Reign of Gothic Rock: In The Reptile House with The Sisters of Mercy, Bauhaus and The Cure","From Joy Division to Nine Inch Nails and from Siouxsie and the Banshees to Marilyn Manson, gothic rock has endured as the cult of choice for the disaffected and the alienated. The author traces the rise of '80s and '90s goth from influences such as Hammer House of Horror movies and schlock novels, through its post-punk origins into the full-blown drama of Bauhaus, The Cure and the hugely popular Sisters of Mercy axis of bands.",430
White Lilacs,"Young Rose Lee Jefferson is shocked to learn that the white residents of Dillon, Texas, want to raze the city's black enclave, Freedomtown, and build a park in its place. Rose Lee and the other residents of Freedomtown cannot bear the thought of losing their homes. But fighting the city's plans could be costly--or even life threatening. Will the families of Freedomtown be able to save their thriving community? Includes a reader's guide.",440
The Black Panthers Speak,"For over three decades, The Black Panthers Speak has represented the most important single source of original material on the Black Panther Party. With cartoons, flyers, and articles by Huey P. Newton, Bobby Seale, and Eldridge Cleaver, this collection endures as an essential part of civil-rights history.",306
Ergo,"The consuming passion of Wacholder, the star of Lind's most playful work, is his only true friend and nemesis, Wurz, who hasn't left his house in 17 years. When Wacholder's 74th letter seemingly has no effect, he turns to other increasingly outlandish schemes to defeat his rival, even staging a rally to declare Wurz's non-existence. A feverishly comic novel.",360
"The Castle Tower Lighthouse (Edgar Font's Hunt for a House to Haunt, #1)","On the day eccentric ex-adventurer, Edgar Font dies he wants to haunt a house as extraordinarily unique as he is. The hunt begins when his grandchildren, Audrey and Garrett visit over summer break. They explore an abandoned lighthouse only to find it full of puzzles, ghosts and mystery. To make it out unharmed they?ll have to free the spirit of a young girl using everything they know and the lessons they learn along the way.",428
Wolverine: Get Mystique,"Writer Jason Aaron (Scalped) and artist Ron Garney (Amazing Spider-Man) bring you a searing epilogue to the biggest X-Men event in a decade. In the aftermath of Messiah CompleX, Wolverine has just one thing on his mind: revenge. But who is the focus of his rage, and what dark secret does he share with them? And how far over the edge is Wolverine willing to go to get what he wants?
Collecting: Wolverine62-65",410
Bink's Badass Bikers - Adult Coloring Book,1 of these 29 Uniquely Badass Adult Coloring pages will keep you busy for hours. A one of a kind coloring book for bike lovers and readers alike. All inspired by Bink Cummings love for bikers and her MC books. 29 single sided adult coloring pages. Moderate to complex in detail. Images include: Club Cuts Curse Words Character Pages and so much more... Illustrated by Sacred Sister: Alex Olsen,393
Amazing Spider-Man (1999-2013) #535,"CIVIL WAR TIE-IN! Caught in the throes of the Civil War that's ripping apart the super hero community, Spider-Man contemplates a move that will mean new friends and new foes. In a conflict of this magnitude, three is no middle ground -- Peter Parker's move will cast him as either George Washington...or Benedict Arnold.
http://marvel.com/comics/issue/4806/a...",361
Whoops!: Why Everyone Owes Everyone And No One Can Pay,"John Lanchester travels with a cast of characters - including reckless banksters, snoozing regulators, complacent politicians, predatory lenders, credit-drunk spendthrifts, and innocent bystanders to understand deeply and genuinely what is happening with the credit crunch and why we feel the way we do.",303
An Auror Like This,"Fandom: Harry Potter
Relationship: Harry Potter/Draco Malfoy
--------------------------------------------------
Harry's main thought when he started talking to Pansy Parkinson was that maybe she could help him understand what the hell he was doing, pursuing Draco Malfoy. He never thought that he would find a friend, too.",322
Queen Isabel,"On the day Queen Isabel gives birth to twins, she knows they will change the destiny of the Great Lands. She senses the future carved out for her daughters and begs the gods to change their fates. But Gabriella, the youngest twin, has been chosen and the Divine Ones will not relent their decision.
Discover the short story prequel to the acclaimed novel, Messenger, and fall in love with the King and Queen who raised two courageous women to challenge the darkest force in the land.",483
Sarah Winnemucca: The Inspiring Life Story of the Activist and Educator,"Sarah Winnemucca worked tirelessly for American Indians. The remarkable woman led an adventure-packed life that ranged from working as a wartime scout in Nevada to meeting with the president of the United States in Washington, D.C. The noted author and speaker was a strong advocate for her people, the Northern Paiute.",319
"The Walking Dead, Issue #73","Abraham settles into work with the construction crew, headed off by Tobin, seemingly one of the only hardened men in the ranks of the Washington community. Tobin reveals to him a feeling of strong cynicism in keeping with the survivors' general consensus that there is a 'fakeness' about the Alexandria Safe-Zone. In particular, Tobin expresses a leering distrust of Douglas, from his interview process to his placement of 'pretty girls' in positions that allow him to see them on regular occasions.",499
The Write Lover,"These two talented writer's, Jasmine Deveraux and Darius Hamilton, met by chance at a book fair in New York City. From that meeting they spawned a collaboration that would take the literary community by storm and develop a love affair that could have been written for the Lifetime Movie Network. Will the two reach their dreams of a multi-million dollar book deal or will their personal hurdles have them walking away from it all?
amazon.com
kindle.com
www.authorbrooklenborne.com",480
Specimen Days  Collect,"Published in 1882, Whitman's uniquely revealing impressions of the people, places, and events of his time, principally the Civil War era and its aftermath, offer a rare excursion into the mind and heart of one of America's greatest poets. His intimate observations and reflections have profoundly deepened understanding of 19th-century American life.",350
Meet Julie: 1974,"Julie Albright doesnt want to move away from her San Francisco neighborhood near Chinatown. Now that her parents are divorced, Julie tries to make the best of it by joining her new schools basketball team. But the coach wont let girls play. Includes a Looking Back section that discusses the womens movement, divorce, and other issues of the 1970s. Illustrations.",363
Troto and the Trucks,"Troto is a happy little car who likes to go places. One day after a long drive, he arrives in Cactusville, where he meets some big trucks. But when those big trucks laugh at how small Troto is, Troto doesn't feel very happy anymore, so he challenges them to a race to show them just what a little car can do. After Troto wins the race, the trucks apologize, and little Troto drives off into the sunset, casting a big shadow.",424
